EEGFp1_REF,EEGFp2_REF,EEGF3_REF,EEGF4_REF,EEGC3_REF,EEGC4_REF,EEGP3_REF,EEGP4_REF,EEGO1_REF,EEGO2_REF,EEGF7_REF,EEGF8_REF,EEGT3_REF,EEGT4_REF,EEGT5_REF,EEGT6_REF,EEGCz_REF
16.3304,7.17513,-50.1979,-73.5438,-69.8817,-61.7945,-55.691,-69.72911,-68.20323,-60.57385,-76.1378,-71.4076,-52.9445,-68.50841,-78.88438,-78.27403,-65.4567
17.0933,20.1451,-53.86,-67.4403,-77.5111,-60.1161,-65.6092,-71.86534,-74.30674,-62.25231,-83.46201,-63.3204,-52.4867,-71.25499,-74.9171,-72.17052,-66.5248
16.7882,19.9925,-57.8273,-63.1678,-80.5628,-59.048,-73.2386,-75.37486,-82.85166,-68.661,-86.81894,-57.2169,-56.454,-64.99889,-80.56284,-72.01793,-68.0506
12.3631,12.8209,-67.7455,-71.255,-86.8189,-65.3041,-79.3421,-81.93613,-88.65,-74.76451,-87.42929,-62.2523,-66.6774,-57.67468,-90.32846,-73.69639,-75.8326
9.15877,9.31135,-74.1542,-81.9361,-92.3121,-69.5765,-80.2577,-82.3939,-84.98789,-75.37486,-88.95517,-69.2713,-67.5929,-63.16784,-87.42929,-72.93345,-81.9361
13.7364,5.19148,-67.4403,-82.8517,-86.2086,-65.6092,-71.8653,-74.15416,-74.61192,-70.18687,-85.59824,-70.4921,-55.5384,-70.33946,-75.22227,-71.25499,-78.4266
21.5184,5.80184,-54.7755,-79.1896,-73.6964,-61.7945,-59.3531,-66.67736,-67.59288,-66.21959,-76.44297,-70.6446,-55.691,-60.72643,-73.39122,-70.79723,-71.8653
24.4175,7.4803,-51.266,-79.1896,-68.5084,-63.7782,-52.6393,-66.37218,-67.89806,-68.661,-70.18687,-75.68,-58.5902,-55.84362,-77.51109,-74.76451,-69.7291
23.9598,1.68197,-55.0807,-79.4947,-68.5084,-63.6256,-50.0453,-64.99889,-65.76183,-71.86534,-67.89806,-79.6473,-48.0616,-71.56016,-73.39122,-80.86802,-68.3558
24.265,-0.759439,-50.6556,-76.9007,-64.3885,-57.5221,-46.078,-58.28503,-58.74279,-67.13512,-65.30407,-76.2904,-44.5521,-76.90074,-66.98253,-80.25767,-62.2523
26.4012,3.36043,-39.6693,-74.3067,-58.5902,-54.9281,-44.0944,-56.1488,-55.8436,-57.67468,-59.9635,-72.9335,-48.0616,-63.7782,-64.6937,-73.849,-55.8436
28.9952,0.766439,-39.2116,-76.2904,-57.8273,-60.2687,-47.2987,-62.0997,-56.6066,-48.672,-58.285,-75.2223,-42.5685,-62.8627,-63.473,-68.661,-57.2169
27.1641,-6.10001,-50.0453,-79.4947,-63.473,-64.8463,-53.097,-65.9144,-55.691,-38.75379,-63.9308,-76.1378,-41.9581,-63.1678,-64.5411,-59.8109,-65.1515
24.8753,-0.149088,-56.1488,-76.1378,-68.0506,-61.3368,-55.691,-61.4894,-53.7074,-31.42958,-64.5411,-68.661,-50.3505,-55.0807,-65.3041,-48.3668,-70.1869
27.9271,12.9735,-48.672,-67.8981,-63.1678,-53.097,-51.7238,-54.6229,-50.9608,-32.4977,-58.1324,-56.9117,-48.3668,-52.7919,-59.6583,-46.5358,-65.7618
30.5211,10.2269,-40.89,-64.5411,-58.5902,-50.1979,-49.1298,-54.4703,-50.6556,-41.50037,-57.2169,-53.4022,-42.2633,-50.3505,-54.3177,-51.7238,-59.048
27.4693,-0.912027,-46.3832,-65.4567,-64.6937,-51.5712,-53.86,-56.6066,-54.1652,-47.29871,-62.2523,-55.8436,-43.0263,-40.1271,-54.4703,-48.8246,-60.2687
